Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,625.000000,633.950012,616.750000,619.349976,518.523193,25015990
2016-04-20,622.000000,623.224976,612.900024,621.799988,520.574402,8072848
2016-04-21,625.500000,625.500000,609.049988,613.150024,513.332581,5441100
2016-04-22,613.150024,614.250000,603.500000,605.625000,507.032623,5143938
2016-04-25,606.025024,612.400024,600.549988,607.924988,508.958252,5364134
2016-04-26,607.724976,619.775024,604.299988,616.075012,515.781433,5846744
2016-04-27,614.599976,621.174988,614.275024,620.075012,519.130249,4486208
2016-04-28,615.500000,619.799988,603.500000,604.575012,506.153595,12165168
2016-04-29,605.724976,611.775024,602.500000,604.049988,505.714050,5036410
2016-05-02,605.000000,605.575012,598.075012,600.525024,502.763000,3615250
2016-05-03,601.375000,606.099976,585.900024,588.900024,493.030334,6824810
2016-05-04,590.500000,596.500000,585.325012,594.424988,497.655823,5812842
2016-05-05,597.575012,599.500000,590.549988,596.224976,499.162811,6302668
2016-05-06,594.900024,594.900024,588.525024,590.750000,494.579224,2596720
2016-05-09,591.000000,600.775024,590.299988,599.525024,501.925781,5123678
2016-05-10,601.250000,608.325012,598.299988,606.400024,507.681580,3395704
2016-05-11,599.250000,607.349976,596.250000,600.924988,503.097809,3709888
2016-05-12,601.950012,606.500000,598.400024,605.000000,506.509430,3406932
2016-05-13,603.000000,605.000000,596.075012,603.625000,505.358368,5652064
2016-05-16,605.099976,611.825012,602.500000,607.500000,508.602386,4533878
2016-05-17,610.000000,612.875000,604.075012,607.125000,508.288483,3796294
2016-05-18,599.500000,607.000000,598.950012,604.924988,506.446564,4256596
2016-05-19,605.474976,608.075012,600.500000,602.875000,504.730255,3954400
2016-05-20,602.500000,609.750000,600.000000,600.799988,502.993164,3994548
2016-05-23,601.700012,602.575012,592.500000,594.000000,497.300232,4585946
2016-05-24,595.525024,595.875000,588.799988,593.875000,497.195435,3485060
2016-05-25,597.049988,606.549988,597.049988,604.325012,505.944305,3857396
2016-05-26,605.049988,619.900024,605.049988,617.075012,516.618713,6136436
2016-05-27,615.799988,629.750000,615.799988,623.750000,522.207092,6180764
2016-05-30,620.750000,636.000000,620.750000,633.799988,530.620972,5285700
2016-05-31,632.500000,633.375000,619.500000,624.325012,522.688477,13782038
2016-06-01,623.025024,634.250000,623.000000,629.099976,526.686035,4840534
2016-06-02,627.500000,637.450012,627.000000,630.775024,528.088501,5053552
2016-06-03,630.025024,639.650024,630.025024,633.450012,530.327942,3998380
2016-06-06,632.450012,638.500000,630.549988,633.375000,530.265076,4225768
2016-06-07,633.500000,636.250000,627.549988,628.700012,526.351135,5692420
2016-06-08,631.974976,631.974976,617.674988,619.049988,518.272095,8741370
2016-06-09,613.125000,613.125000,590.025024,592.750000,502.031891,12740804
2016-06-10,587.700012,595.000000,585.049988,590.299988,499.956787,6383956
2016-06-13,588.400024,592.450012,583.000000,590.450012,500.083893,5286722
2016-06-14,591.200012,591.200012,583.625000,587.500000,497.585297,2940728
2016-06-15,591.849976,596.325012,589.525024,594.974976,503.916290,6711572
2016-06-16,594.750000,594.750000,585.049988,593.000000,502.243591,5302564
2016-06-17,594.500000,596.375000,587.549988,589.750000,499.490936,8515082
2016-06-20,590.500000,605.900024,589.849976,604.375000,511.877686,6229566
2016-06-21,605.599976,607.400024,597.825012,603.049988,510.755432,4761724
2016-06-22,602.000000,605.974976,594.075012,599.750000,507.960419,3031258
2016-06-23,598.650024,607.424988,596.674988,605.799988,513.084595,3828626
2016-06-24,594.000000,599.500000,580.000000,597.275024,505.864319,7808348
2016-06-27,586.025024,591.599976,580.000000,583.099976,493.858704,5583778
2016-06-28,581.400024,586.250000,577.549988,579.575012,490.873230,7655974
2016-06-29,584.500000,589.950012,580.099976,588.424988,498.368652,5459150
2016-06-30,590.250000,592.250000,583.974976,585.400024,495.806702,9346224
2016-07-01,590.000000,590.000000,585.049988,586.200012,496.484406,3991912
2016-07-04,588.099976,597.299988,588.099976,591.974976,501.375366,5381322
2016-07-05,592.500000,593.750000,585.525024,587.724976,497.775848,3596416
2016-07-07,584.349976,585.500000,577.500000,578.625000,490.068573,5954876
2016-07-08,581.500000,583.500000,576.750000,579.099976,490.470886,5551648
2016-07-11,583.700012,589.349976,580.000000,587.525024,497.606567,6668882
2016-07-12,590.000000,590.174988,584.000000,588.275024,498.241791,6197368
2016-07-13,590.000000,597.900024,587.599976,596.900024,505.546722,5275420
2016-07-14,597.500000,598.025024,582.000000,588.125000,498.114716,7413328
2016-07-15,594.750000,594.950012,526.000000,536.275024,454.200134,61484126
2016-07-18,538.625000,542.450012,527.575012,540.974976,458.180817,14332824
2016-07-19,544.299988,545.000000,537.049988,543.474976,460.298157,10404644
2016-07-20,535.000000,544.950012,535.000000,541.549988,458.667786,9822896
2016-07-21,539.500000,543.599976,537.799988,539.950012,457.312653,8668002
2016-07-22,535.000000,539.950012,533.349976,536.224976,454.157776,9386538
2016-07-25,531.500000,541.625000,531.500000,540.424988,457.714966,8469552
2016-07-26,535.174988,544.950012,535.174988,544.349976,461.039246,7189610
2016-07-27,542.349976,548.250000,539.275024,542.674988,459.620605,7431820
2016-07-28,542.700012,543.474976,537.025024,538.750000,456.296295,11258562
2016-07-29,536.299988,538.375000,533.250000,536.924988,454.750671,8156784
2016-08-01,535.750000,543.924988,534.174988,542.625000,459.578217,9096662
2016-08-02,539.950012,542.500000,537.500000,541.900024,458.964294,6822502
2016-08-03,542.825012,543.250000,535.150024,542.450012,459.430084,7213460
2016-08-04,543.200012,543.450012,535.025024,535.900024,453.882507,4237278
2016-08-05,536.000000,536.724976,530.000000,534.000000,452.273285,5609968
2016-08-08,534.500000,540.500000,531.275024,539.349976,456.804565,4643064
2016-08-09,538.500000,542.250000,535.750000,541.700012,458.794800,7192664
2016-08-10,538.000000,543.950012,537.599976,541.174988,458.350159,5576454
2016-08-11,540.849976,547.500000,537.625000,538.674988,456.232819,5038552
2016-08-12,537.525024,539.400024,530.000000,531.275024,449.965363,7449928
2016-08-16,521.000000,529.025024,514.000000,525.900024,445.412964,16429408
2016-08-17,524.974976,526.325012,515.250000,516.650024,437.578705,6599316
2016-08-18,518.250000,519.549988,510.750000,511.700012,433.386200,8434000
2016-08-19,515.000000,519.500000,509.225006,510.649994,432.496918,5686016
2016-08-22,509.000000,515.000000,504.549988,507.725006,430.019562,10253518
2016-08-23,510.049988,521.000000,510.049988,519.825012,440.267731,7406138
2016-08-24,523.500000,531.025024,523.500000,528.700012,447.784485,6129966
2016-08-25,527.500000,528.799988,516.049988,518.075012,438.785583,4796562
2016-08-26,518.000000,523.000000,508.524994,510.125000,432.052307,6881054
2016-08-29,508.799988,515.000000,505.500000,511.399994,433.132111,5220282
2016-08-30,516.224976,522.500000,512.500000,520.200012,440.585327,4375438
2016-08-31,518.549988,522.875000,513.900024,517.924988,438.658478,11139814
2016-09-01,519.000000,520.224976,516.000000,518.775024,439.378418,2877826
2016-09-02,519.525024,520.000000,513.099976,515.924988,436.964630,3332592
2016-09-06,519.125000,524.450012,517.799988,522.500000,442.533295,8215044
2016-09-07,524.000000,529.500000,522.000000,527.174988,446.492828,7425470
2016-09-08,522.500000,522.500000,512.000000,518.825012,439.420776,9092774
2016-09-09,518.500000,520.500000,513.275024,517.750000,438.510345,5053438
2016-09-12,512.625000,529.000000,512.625000,527.000000,446.344574,6203096
2016-09-14,526.974976,528.900024,520.325012,522.799988,442.787415,5152418
2016-09-15,522.799988,523.400024,517.674988,521.099976,441.347626,4701722
2016-09-16,524.500000,532.250000,519.049988,530.075012,448.949036,9949384
2016-09-19,523.000000,534.450012,520.674988,530.599976,449.393646,5809154
2016-09-20,526.650024,528.575012,522.875000,525.075012,444.714264,4214004
2016-09-21,527.000000,530.625000,525.525024,527.875000,447.085693,4231532
2016-09-22,529.500000,530.500000,526.000000,529.400024,448.377319,3629514
2016-09-23,528.500000,529.400024,520.000000,521.275024,441.495850,5205294
2016-09-26,521.375000,522.000000,515.500000,517.950012,438.679718,6371798
2016-09-27,517.525024,524.950012,516.674988,519.875000,440.310089,6525660
2016-09-28,520.000000,521.150024,516.625000,519.474976,439.971222,5434708
2016-09-29,522.474976,522.474976,512.000000,514.599976,435.842346,8902638
2016-09-30,515.549988,521.950012,515.549988,518.025024,438.743256,6502354
2016-10-03,517.750000,520.000000,513.049988,519.049988,439.611359,3656160
2016-10-04,520.000000,525.700012,519.150024,524.599976,444.311859,5066586
2016-10-05,524.599976,524.924988,518.500000,520.750000,441.051086,2307574
2016-10-06,522.500000,522.500000,512.974976,513.700012,435.080139,3721882
2016-10-07,514.974976,516.900024,505.049988,506.274994,428.791534,6288558
2016-10-10,508.500000,515.875000,505.000000,514.974976,436.159973,5413170
2016-10-13,510.700012,529.000000,510.700012,526.174988,445.645874,9778690
2016-10-14,526.450012,541.349976,498.125000,513.575012,434.974243,33461690
2016-10-17,517.474976,520.900024,508.674988,511.200012,432.962769,8014858
2016-10-18,515.000000,520.250000,513.650024,519.525024,440.013641,6388134
2016-10-19,521.000000,522.849976,518.000000,520.900024,441.178284,3509836
2016-10-20,522.375000,525.349976,516.900024,518.325012,438.997284,3535490
2016-10-21,517.500000,520.500000,511.250000,519.150024,444.411774,3863620
2016-10-24,518.750000,521.349976,512.750000,513.549988,439.617920,2902974
2016-10-25,518.250000,519.450012,507.600006,508.600006,435.380493,5636014
2016-10-26,508.500000,509.924988,504.649994,507.100006,434.096588,2775216
2016-10-27,508.950012,508.975006,500.549988,501.750000,429.516693,7227790
2016-10-28,502.600006,505.000000,496.575012,498.750000,426.948578,5840706
2016-11-01,503.399994,503.399994,493.200012,494.725006,423.503052,6332798
2016-11-02,492.399994,493.750000,490.000000,490.524994,419.907623,5377194
2016-11-03,490.524994,491.000000,482.549988,483.424988,413.829803,5225108
2016-11-04,483.500000,489.600006,480.500000,485.500000,415.606079,6005548
2016-11-07,492.500000,493.000000,487.500000,488.975006,418.580811,4537672
2016-11-08,493.450012,493.875000,485.299988,491.299988,420.571045,5261108
2016-11-09,465.000000,487.299988,450.500000,479.149994,410.170227,12764158
2016-11-10,481.250000,481.250000,467.500000,469.700012,402.080719,7287330
2016-11-11,470.000000,472.500000,459.350006,460.774994,394.440582,7096782
2016-11-15,462.000000,469.975006,454.274994,461.774994,395.296600,9235850
2016-11-16,465.000000,478.424988,464.274994,470.450012,402.722778,12222616
2016-11-17,467.125000,474.500000,463.200012,464.899994,397.971710,5706730
2016-11-18,465.000000,466.625000,458.750000,460.000000,393.777161,6040228
2016-11-21,463.450012,463.450012,453.475006,455.549988,389.967743,7940568
2016-11-22,458.450012,464.325012,455.825012,457.100006,391.294586,5483126
2016-11-23,461.049988,461.450012,456.225006,460.125000,393.884064,8251786
2016-11-24,464.100006,469.950012,461.649994,465.149994,398.185730,16780644
2016-11-25,465.225006,492.500000,465.225006,488.750000,418.388153,12631380
2016-11-28,489.649994,491.725006,485.299988,489.875000,419.351196,7365712
2016-11-29,489.399994,492.350006,483.549988,486.299988,416.290863,6125506
2016-11-30,486.500000,488.500000,480.524994,487.774994,417.553528,8500918
2016-12-01,488.000000,491.774994,483.500000,487.799988,417.574951,4611590
2016-12-02,482.399994,484.799988,480.549988,482.250000,412.823914,4453228
2016-12-05,482.950012,484.299988,479.000000,480.825012,411.604126,3659576
2016-12-06,480.899994,489.750000,480.825012,483.250000,413.679993,3562110
2016-12-07,484.000000,486.500000,480.100006,483.200012,413.637146,3385980
2016-12-08,485.024994,493.049988,485.024994,492.325012,421.448547,5941662
2016-12-09,492.500000,504.075012,490.750000,494.674988,423.460205,8648384
2016-12-12,491.399994,491.399994,482.600006,488.674988,418.324005,5345020
2016-12-13,490.250000,496.424988,485.549988,495.100006,423.824005,4854282
2016-12-14,495.500000,502.475006,492.049988,499.875000,427.911621,5382614
2016-12-15,498.700012,509.475006,494.500000,496.174988,424.744293,7966416
2016-12-16,501.899994,504.850006,498.875000,502.575012,430.222900,6436742
2016-12-19,503.049988,504.125000,497.049988,502.325012,430.008881,4124134
2016-12-20,501.000000,509.500000,500.649994,506.075012,433.219055,7636498
2016-12-21,508.000000,511.000000,499.125000,500.774994,428.682068,7343976
2016-12-22,501.250000,503.500000,484.750000,492.350006,421.469971,7060054
2016-12-23,492.450012,503.299988,486.799988,494.225006,423.075012,7306036
2016-12-26,494.000000,497.000000,487.549988,491.375000,420.635284,3213828
2016-12-27,491.375000,500.950012,490.000000,499.475006,427.569214,4912816
2016-12-28,501.475006,504.899994,497.500000,499.250000,427.376587,5476816
2016-12-29,501.875000,504.000000,494.075012,496.174988,424.744293,6240124
2016-12-30,499.000000,506.000000,496.375000,505.299988,432.555603,7267768
2017-01-02,505.549988,506.475006,499.674988,500.549988,428.489471,2335222
2017-01-03,502.049988,502.450012,491.000000,496.924988,425.386292,6778482
2017-01-04,497.524994,502.100006,496.125000,498.875000,427.055603,7073586
2017-01-05,500.799988,504.750000,494.375000,498.075012,426.370758,8207074
2017-01-06,497.450012,499.424988,484.024994,486.125000,416.141113,14393448
2017-01-09,486.125000,488.475006,482.500000,485.174988,415.327911,10545692
2017-01-10,488.500000,490.500000,483.975006,485.274994,415.413452,11939854
2017-01-11,487.100006,489.225006,481.975006,484.549988,414.792816,12241574
2017-01-12,488.774994,502.200012,488.774994,500.024994,428.039978,11855740
2017-01-13,515.000000,520.000000,481.350006,487.899994,417.660553,31276246
2017-01-16,482.500000,482.725006,476.225006,477.825012,409.036011,12351372
2017-01-17,478.125000,482.000000,476.200012,477.700012,408.929047,5560094
2017-01-18,479.049988,480.500000,474.899994,475.399994,406.960052,5952962
2017-01-19,475.500000,479.799988,474.049988,479.049988,410.084625,8876480
2017-01-20,475.000000,476.575012,473.000000,474.350006,406.061310,9124742
2017-01-23,472.500000,479.000000,470.000000,476.350006,407.773346,7948580
2017-01-24,475.000000,475.000000,470.049988,472.774994,404.713013,6826010
2017-01-25,473.049988,473.399994,467.399994,468.299988,400.882294,9978090
2017-01-27,466.924988,473.774994,450.575012,471.075012,403.257782,10635138
2017-01-30,468.750000,475.750000,464.424988,474.674988,406.339447,11369208
2017-01-31,470.750000,470.750000,452.174988,464.299988,397.458130,24068534
2017-02-01,460.549988,461.600006,452.575012,458.375000,392.386108,11531782
2017-02-02,458.500000,472.500000,455.049988,467.950012,400.582642,11828268
2017-02-03,466.899994,470.450012,460.524994,468.049988,400.668243,8423958
2017-02-06,468.625000,471.875000,465.274994,467.625000,400.304413,6727934
2017-02-07,466.500000,474.899994,464.274994,471.125000,403.300507,9268002
2017-02-08,468.000000,472.049988,466.225006,468.250000,400.839447,6319962
2017-02-09,468.500000,475.000000,468.274994,473.000000,404.905640,11907266
2017-02-10,473.125000,486.000000,471.649994,484.149994,414.450470,12252452
2017-02-13,486.424988,493.049988,481.424988,492.174988,421.320160,13724268
2017-02-14,490.000000,494.500000,486.174988,493.850006,422.753937,9338818
2017-02-15,494.600006,499.399994,484.399994,490.899994,420.228668,7259486
2017-02-16,495.500000,506.950012,495.024994,506.049988,433.197632,12815858
2017-02-17,506.875000,506.875000,496.350006,500.049988,428.061401,4851208
2017-02-20,498.250000,515.500000,496.750000,505.125000,432.405823,4650662
2017-02-21,511.049988,512.250000,500.024994,506.799988,433.839630,7613996
2017-02-22,507.500000,507.500000,493.200012,495.075012,423.802582,6607838
2017-02-23,499.450012,510.000000,496.674988,504.424988,431.806610,9542656
2017-02-27,503.649994,511.500000,503.475006,506.200012,433.326080,5328696
2017-02-28,505.924988,511.350006,504.625000,506.200012,433.326080,5940132
2017-03-01,506.000000,513.500000,505.049988,512.575012,438.783325,4282448
2017-03-02,512.200012,514.000000,508.250000,511.649994,437.991455,2948498
2017-03-03,505.125000,517.150024,500.200012,515.599976,441.372772,5401612
2017-03-06,510.024994,517.974976,509.850006,516.950012,442.528473,5286386
